legal_name,regulator_code,regulator,jurisdiction,license_number,license_type,status,license_date,approved_domains,forex_broker,classification_confidence,classification_reason,evidence_url,evidence_status,needs_review,source_url,last_checked
AXEL PRIVATE MARKET PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,529733,Australian Financial Services Licence,ACTIVE,14/07/2023,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AXICORP FINANCIAL SERVICES PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,318232,Australian Financial Services Licence,ACTIVE,21/12/2007,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AZ SESTANTE LIMITED,ASIC,Australian Securities and Investments Commission,Australia,284442,Australian Financial Services Licence,ACTIVE,30/05/2005,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BACERA CO PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,328794,Australian Financial Services Licence,ACTIVE,19/12/2008,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BALMAIN FUND ADMINISTRATION LIMITED,ASIC,Australian Securities and Investments Commission,Australia,333213,Australian Financial Services Licence,ACTIVE,22/05/2009,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BELIKE NOMINEES PTY. LIMITED,ASIC,Australian Securities and Investments Commission,Australia,238164,Australian Financial Services Licence,ACTIVE,01/03/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BELL POTTER SECURITIES LIMITED,ASIC,Australian Securities and Investments Commission,Australia,243480,Australian Financial Services Licence,ACTIVE,10/03/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BEO - EXPORT AUSTRALIA PTY LIMITED,ASIC,Australian Securities and Investments Commission,Australia,294171,Australian Financial Services Licence,ACTIVE,09/11/2005,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BETASHARES CAPITAL LTD,ASIC,Australian Securities and Investments Commission,Australia,341181,Australian Financial Services Licence,ACTIVE,03/05/2010,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BEULAH CAPITAL PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,330951,Australian Financial Services Licence,ACTIVE,23/02/2009,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
