action,profile_slug,brand_name,source_value,canonical_value,license_number,evidence_url
NORMALIZED_REGULATOR_NAME,zfx,ZFX,FCA,FCA,,https://www.zfx.com/en/
NORMALIZED_REGULATOR_NAME,zfx,ZFX,FSA Seychelles,FSA Seychelles,,https://www.zfx.com/en/
NORMALIZED_REGULATOR_NAME,acetop,Acetop,FCA,FCA,,http://www.acetop.uk/
NORMALIZED_REGULATOR_NAME,adm,ADM,FCA,FCA,,https://www.admis.com.sg/
NORMALIZED_REGULATOR_NAME,aegon-asset-management,Aegon Asset Management,FCA,FCA,,https://www.aegonam.com/
NORMALIZED_REGULATOR_NAME,afterprime,Afterprime,FSA Seychelles,FSA Seychelles,,https://afterprime.com
NORMALIZED_REGULATOR_NAME,aims,AIMS,ASIC,ASIC,,https://www.aimsfx.com/
NORMALIZED_REGULATOR_NAME,aimscap,AIMSCAP,ASIC,ASIC,,https://aimscap.com
NORMALIZED_REGULATOR_NAME,alchemy-markets,Alchemy Markets,FSA Seychelles,FSA Seychelles,,
NORMALIZED_REGULATOR_NAME,atc-brokers,ATC BROKERS,FCA,FCA,,https://atcbrokers.co.uk/
NORMALIZED_REGULATOR_NAME,bbh,BBH,FCA,FCA,,https://www.bbh.com/en-us
NORMALIZED_REGULATOR_NAME,bcr,BCR,ASIC,ASIC,,https://au.thebcr.com/
NORMALIZED_REGULATOR_NAME,blueberry,Blueberry,ASIC,ASIC,,https://www.blueberrymarkets.com/
NORMALIZED_REGULATOR_NAME,blueberry,Blueberry,FSC Mauritius,FSC Mauritius,,https://www.blueberrymarkets.com/
NORMALIZED_REGULATOR_NAME,cwg-markets,CWG Markets,FSCA,FSCA,,https://www.cwgplatform.com/
NORMALIZED_REGULATOR_NAME,darwinex,darwinex,FCA,FCA,,https://www.darwinex.com/
NORMALIZED_REGULATOR_NAME,decodefx,DecodeFX,ASIC,ASIC,,https://decodefx.com/en/
NORMALIZED_REGULATOR_NAME,fortune-prime-global,Fortune Prime Global,ASIC,ASIC,,https://fortuneprime.com/
NORMALIZED_REGULATOR_NAME,gegold,GeGold,FSA Seychelles,FSA Seychelles,,https://www.gegoldtrade.com/
NORMALIZED_REGULATOR_NAME,harmovest-capital,Harmovest Capital,CySEC,CySEC,,https://hamovest.com/
NORMALIZED_REGULATOR_NAME,idealing-com,iDealing.com,FCA,FCA,,https://www.idealing.com
NORMALIZED_REGULATOR_NAME,iux,IUX,FSCA,FSCA,,https://iux.com/en
NORMALIZED_REGULATOR_NAME,iux,IUX,FSC Mauritius,FSC Mauritius,,https://iux.com/en
NORMALIZED_REGULATOR_NAME,jefferies,Jefferies,FCA,FCA,,http://www.jefferies.com/
NORMALIZED_REGULATOR_NAME,jefferies,Jefferies,CIRO,CIRO,,http://www.jefferies.com/
NORMALIZED_REGULATOR_NAME,kcm-trade,KCM Trade,ASIC,ASIC,,https://www.kcmtrade.com/
NORMALIZED_REGULATOR_NAME,kcm-trade,KCM Trade,FSC Mauritius,FSC Mauritius,,https://www.kcmtrade.com/
NORMALIZED_REGULATOR_NAME,lirunex,Lirunex,CySEC,CySEC,,https://lirunex.com/
NORMALIZED_REGULATOR_NAME,lirunex,Lirunex,FSC Mauritius,FSC Mauritius,,https://lirunex.com/
NORMALIZED_REGULATOR_NAME,ltg,LTG,FSA Seychelles,FSA Seychelles,,https://www.ltgmarkets.com/
NORMALIZED_REGULATOR_NAME,ltg,LTG,ASIC,ASIC,,https://www.ltgmarkets.com/
NORMALIZED_REGULATOR_NAME,m4markets,M4Markets,DFSA,DFSA,,https://www.m4markets.com/
NORMALIZED_REGULATOR_NAME,make-capital,Make Capital,FSCA,FSCA,,https://www.makecapital.com/
NORMALIZED_REGULATOR_NAME,make-capital,Make Capital,FSC Mauritius,FSC Mauritius,,https://www.makecapital.com/
NORMALIZED_REGULATOR_NAME,mega-fusion,MEGA FUSION,FSCA,FSCA,,https://www.mega-fusion.com/
NORMALIZED_REGULATOR_NAME,mega-fusion,MEGA FUSION,FSC Mauritius,FSC Mauritius,,https://www.mega-fusion.com/
NORMALIZED_REGULATOR_NAME,mh-markets,MH Markets,FSCA,FSCA,,http://tamrontech.com/
NORMALIZED_REGULATOR_NAME,mh-markets,MH Markets,FSC Mauritius,FSC Mauritius,,http://tamrontech.com/
NORMALIZED_REGULATOR_NAME,ncm,NCM,FCA,FCA,,https://www.ncminvest.com/
NORMALIZED_REGULATOR_NAME,oexn,OEXN,CySEC,CySEC,,https://www.oexn.global/
NORMALIZED_REGULATOR_NAME,oexn,OEXN,FSC Mauritius,FSC Mauritius,,https://www.oexn.global/
NORMALIZED_REGULATOR_NAME,ofx,OFX,ASIC,ASIC,,https://www.ofx.com/en-au/
NORMALIZED_REGULATOR_NAME,onsafx,OnsaFX,FSCA,FSCA,,https://onsafx.com/
NORMALIZED_REGULATOR_NAME,otso-markets,OTSO Markets,FSCA,FSCA,,https://www.otsomarkets.com
NORMALIZED_REGULATOR_NAME,otso-markets,OTSO Markets,ASIC,ASIC,,https://www.otsomarkets.com
NORMALIZED_REGULATOR_NAME,rkx,RKX,FSCA,FSCA,,https://www.rkx.com/
NORMALIZED_REGULATOR_NAME,rs-finance,RS Finance,FSA Seychelles,FSA Seychelles,,https://rs-fin.com
NORMALIZED_REGULATOR_NAME,scope-markets,Scope Markets,FSCA,FSCA,,https://www.scopemarkets.com/en/
NORMALIZED_REGULATOR_NAME,sigma,Sigma,DFSA,DFSA,,http://www.sigma-broking.com
NORMALIZED_REGULATOR_NAME,spreadex,SPREADEX,FCA,FCA,,https://www.spreadex.com/financials/
NORMALIZED_REGULATOR_NAME,tavira,Tavira,DFSA,DFSA,,http://tavira.group/
NORMALIZED_REGULATOR_NAME,tier1fx,tier1fx,CySEC,CySEC,,https://www.tier1fx.com
NORMALIZED_REGULATOR_NAME,tiger-brokers,TIGER BROKERS,ASIC,ASIC,,https://www.itiger.com/hk/en/
NORMALIZED_REGULATOR_NAME,traders-hub,Traders’ Hub,FSA Seychelles,FSA Seychelles,,https://tradershub.ae
NORMALIZED_REGULATOR_NAME,traze,traze,FSCA,FSCA,,https://traze.com/
NORMALIZED_REGULATOR_NAME,trive,Trive,FSCA,FSCA,,https://www.trive.com/int/
NORMALIZED_REGULATOR_NAME,trive,Trive,FSC Mauritius,FSC Mauritius,,https://www.trive.com/int/
NORMALIZED_REGULATOR_NAME,uexo,uexo,FSCA,FSCA,,https://uexo.com/
NORMALIZED_REGULATOR_NAME,uexo,uexo,FSC Mauritius,FSC Mauritius,,https://uexo.com/
NORMALIZED_REGULATOR_NAME,uiic,UIIC,FCA,FCA,,http://www.uiic.co.uk
